,date,username,displayname,location,language,tweet
49,2022-04-29 21:21:27+00:00,Jcreepy,Nii,Accra.Dansoman,en,E LEVY is from tomorrow 🤦🏿‍♀️
50,2022-04-29 21:16:35+00:00,NsemghOfficial,Nsemgh,Worldwide,en,‘We don’t pay enough taxes in Ghana like Europe; E-Levy is nothing’ – Presby Moderator https://t.co/kJ2sAHKSfa #LocalNews #News #Elevy #PresbyModerator
51,2022-04-29 21:14:33+00:00,jnr_omari,Omari Carter Jnr,"Accra, Ghana",en,So does the e levy affect atm withdrawals ?
52,2022-04-29 21:03:27+00:00,dkbghana,DKB GHANA,GH,en,We get 24hrs to E levy implementation. 😩 https://t.co/AiDkr2m9Au
53,2022-04-29 20:57:45+00:00,novaroyalsys,Nova Royal Systems,"Accra, Ghana",fi,#electricity #E-Levy https://t.co/OtQasv7lVL
54,2022-04-29 20:56:09+00:00,novaroyalsys,Nova Royal Systems,"Accra, Ghana",qme,#elevy https://t.co/i1AvG9fqhr
55,2022-04-29 20:54:30+00:00,FaVisionEnt,FA Vision Enterprise,Accra-Ghana.,en,"What you ought to know about this whole #elevy brouhaha. @GhanaRevenue 
@MTNGhana 
@VodafoneGhana 
@airteltigoghana 
@FaVisionEnt - WE ARE LARGE AND IN CHARGE! https://t.co/DWLvdZ4j8D"
56,2022-04-29 20:49:53+00:00,Kuamivibes,V iBes🎯🦇🌹🐻,"Kasoa, Ghana",en,So This Sunday Nor The E_Levy Something Dey Start 😵.
57,2022-04-29 20:49:21+00:00,oseihernandez,𝘒𝘈𝘠 - 𝘏𝘌𝘙𝘕𝘈𝘕𝘋𝘌𝘡 🎮 🇬🇭,"Ashanti,Ghana kumasi ||offinso",es,@abyna_choco E -levy come ooo .. bra fie b3gye
58,2022-04-29 20:46:07+00:00,zuutg,🇬🇭,"Accra, Ghana",en,i can’t believe they’re making us pay this e levy stuff for real https://t.co/qeYNSYVDUW
59,2022-04-29 20:43:26+00:00,MOphicial7,Mr Raph Ophicial7,,en,Boys start dey fear dogs😓 pass E levy
60,2022-04-29 20:41:44+00:00,OperaNews_GH,Opera News Ghana,"Accra, Ghana",en,"E-Levy: Government Is Determined To Entrench Unconstitutional Conduct- Okudzeto Ablakwa
https://t.co/6En5VTolHX
#elevy"
61,2022-04-29 20:34:28+00:00,NelloBrown10,Nello Brown,,en,"Wat gold,diamond,cocoa,oil,cotton couldn't do,E_Levy is here to do so😂😂 https://t.co/FlHZCgEQ8z"
62,2022-04-29 20:27:16+00:00,BenopaOnyx1,Beno SarkCess,Beno City,en,"Hmmm so like joke like joke this e levy dey start on Sunday 
Ghana is hard already, let’s prepare for more hardship"
63,2022-04-29 20:25:43+00:00,joe_a_jnr,8|,"Tema, Ghana",en,my bank just remind me of e levy make my mood all cast
64,2022-04-29 20:24:18+00:00,MorenaHelle,elianaoff 🌻,"Bahia, Brasil",es,@_do_cinho Todo núcleo que vive no pantanal  menos Tenório e levy .
65,2022-04-29 20:21:14+00:00,NelloBrown10,Nello Brown,,en,"E_levy is back
Wat gold,diamond,oil,cotton,cocoa couldn't do,e_levy will do
Welcome E_Levy😂😂 https://t.co/vp6NtxBJUX"
66,2022-04-29 20:17:25+00:00,Dolar381,Mr. dolar,,en,I think we can’t classify the church as a vulnerable society. The church must pay E levy as a social responsibility to the country. @JoyNewsOnTV @tv3_ghana
67,2022-04-29 20:05:28+00:00,scoobi763,Scoobi gh🇬🇭,"Western North, Ghana",in,@julietbawuah E - levy zlatan
68,2022-04-29 19:44:10+00:00,Kaliboss,J.K Danso𖤐,City by da bay,en,"@its_AK24 its not 1st May o but them tear me e levy,i beg check the screen shot. https://t.co/HRpS0AHOdU"
69,2022-04-29 19:43:24+00:00,lexyridegh,Lexyride Ghana Ltd.,,qme,#elevy https://t.co/CHCA0mtNw4
70,2022-04-29 19:36:35+00:00,peacefmonline,Peace FM Online,Ghana,en,GRA-Issues-New-Guidelines-On-E-Levy-Implementation- https://t.co/ut2GbZp5gM https://t.co/gfUR8aoSCp
71,2022-04-29 19:36:34+00:00,Accra_brunette,MO,,en,Yo this e levy is really happening. Ecobank just sent me a message about it 😭😭😭
72,2022-04-29 19:33:53+00:00,HarryAntwi1,Harry Antwi,,en,Past governments have done so much to move our economy to a cashless system. This government has only taken us back with this e- levy. It’s a shame. Ama Ghana! #LetsSaveGhana
73,2022-04-29 19:32:09+00:00,julietbawuah,Juliet Bawuah,Global,en,@mistameister Send momo with e levy so I buy
74,2022-04-29 19:26:11+00:00,_Abdul_Manan_,AIDAN™,#Etihad #Fortress ,en,The e levy text message dey vex
75,2022-04-29 19:23:04+00:00,ritly_,mand,,en,@melo_mylo You can road from here to heaven but you are the worst gov because of e levy.
76,2022-04-29 19:20:00+00:00,NUFUO_mu_IGP,BREAST BOARD CHAIRMAN,,en,@KofiLoyalty1 @GeorgeGand Vodafone is charging only the e levy
77,2022-04-29 19:19:02+00:00,game1990over,Game Over,,en,@Kofi_Good It because of the upcoming E levy
78,2022-04-29 19:07:03+00:00,Amerrley,Amerley🌶,,en,Herh e levy to be implemented 1st May? Dear Lord.. my soul is weary🙏🏻 can I survive this life?
79,2022-04-29 19:05:02+00:00,BigSoojay01,KING SOO,"Africa,Ghana,Accra-La",en,@IzzatElKhawaja Presido I make ready like e levy 😂
80,2022-04-29 19:04:49+00:00,Abanfo_Seth,Abanfo,Ghana,und,"Hmm,
🇬🇭 #ELevy"
81,2022-04-29 19:00:24+00:00,Amerrley,Amerley🌶,,en,@peezarian Chale e levy is about to make things worse😢
82,2022-04-29 18:59:45+00:00,Amerrley,Amerley🌶,,en,The e levy makes me wanna cryyyy it’s so unfair https://t.co/3xfAlk5a2w
83,2022-04-29 18:58:04+00:00,benkpanie,distro,,en,"@tyronetano E levy o, so i clear my momo"
84,2022-04-29 18:56:19+00:00,ibrahimmalcolm,Ibra MaL,Somewhere in Africa,en,#elevy Notice served https://t.co/VldmSuCXdC
85,2022-04-29 18:53:41+00:00,ocobadass,T-god from the big A,,en,"So e levy Dey start Sunday, Interesting  times ahead"
86,2022-04-29 18:45:34+00:00,NUFUO_mu_IGP,BREAST BOARD CHAIRMAN,,en,"MTN E Levy text says "" and will be in addition to applicable charges by MTN""

Meanwhile Vodafone is charging only the E Levy
Vodafone here I come"
87,2022-04-29 18:45:07+00:00,Ola_aguns_,Hammed👷🏾,"Greater Accra, Ghana",en,Abeg make nobody send me money on momo again #elevy
88,2022-04-29 18:44:05+00:00,owusukwadwo360,OWUSU KWADWO,,en,"Government has lowered its expectations on how much is hoped to be realised from E-Levy. 

GHS4.5 billion is the new target.

#3Days More For The Implementation Of #E-Levy"
89,2022-04-29 18:43:30+00:00,_dhorothea_,T H E A🤎🦋🇬🇭,worldwide,en,I think the E levy is perfect 👍🏽 😉
90,2022-04-29 18:42:18+00:00,peacefmonline,Peace FM Online,Ghana,en,E-LEVY-GRA-Must-Move-A-Step-Further---Okoe-Boye https://t.co/DIL3I28NBI https://t.co/KzaQ9tL8g6
91,2022-04-29 18:41:20+00:00,Dormah10,Fabio Lamar RG,"Kumasi, Ghana",en,"@gyaigyimii I need a laptop badly to start yahoo, life is hard 😭 this E levy I can't stand with it💔😥😥"
92,2022-04-29 18:35:26+00:00,The_Spar,Apetsi Ampiah,,en,So all the banks are sending e levy notices today
93,2022-04-29 18:33:57+00:00,Ola_aguns_,Hammed👷🏾,"Greater Accra, Ghana",it,E don start ooo 🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️ #elevy https://t.co/AWKRhBVDnW
94,2022-04-29 18:28:34+00:00,WOKWANKO,Snake snails,,en,@I_Am_Winter Sunday man go pay E levy so wati be FIFA
95,2022-04-29 18:26:18+00:00,omar_poris,OMAR.PORIS,,en,Public Attention before 1st of May #E-Levy! https://t.co/TZBt3Ohy8V
96,2022-04-29 18:24:31+00:00,honkwakucitizen,Hon. Kwaku Citizen,"Kumasi, Ghana",en,"A long story made short. 
#elevy https://t.co/84a6js9h76"
97,2022-04-29 18:20:23+00:00,GeraldCrack,Not Nice,Behind You,en,Chale we really dey enter holidays with E levy. Awurade.
98,2022-04-29 18:19:51+00:00,thebrightosei,вяιgнт σѕєι,"Accra, Ghana",en,Today’s traffic is proudly sponsored by the E-Levy. It will solve all Ghana’s problems #doggy #elevy
99,2022-04-29 18:19:50+00:00,NorvanReports,NorvanReports,Ghana,en,"E-levy is 95% ready for implementation, says John Kumah https://t.co/6yxpeM3rBX #norvanreports #e_levy @MoF_Ghana @thebankofghana @GhanaRevenue @johnkumah_Esq @KenOforiAtta1 @Centre4EconsSvy @thePOE_T @Joe_Jackson_GH @DodooSnr @norvan986"
100,2022-04-29 18:17:13+00:00,slojoe_,J.,,en,So the e levy dey come happen? Ei
101,2022-04-29 18:15:44+00:00,wiseonetwo,Weisse,Tusker,fi,"#e-levy #elevy #Qatar2022 #SUGA 
#UkraineRussiaWar #UkraineUnderAttaсk #biden #usa https://t.co/8PcawA6TfR"
102,2022-04-29 18:12:33+00:00,bra_eko,EKO ⚕️🇵🇹🇧🇷🇬🇭,Temporarily In Ghana ,en,Ei so true true the e levy dey come https://t.co/AJfV0zhBAg
103,2022-04-29 18:05:26+00:00,IGrindHarder12,To What End,Somewhere Around The World ,en,When Ghanaians realise E- levy starts on Sunday https://t.co/YJWsjfxzqa
104,2022-04-29 18:03:39+00:00,_ohemmanuel,#TomorrowsVoices,Accra-Ghana,en,"To be forewarned is to be forearmed 

#elevy Alert https://t.co/VlHFuUjuc8"
105,2022-04-29 18:02:09+00:00,AbenaNyamekyeA,Abena.,"Accra,Ghana",en,The bank notifications on E levy are flowing
106,2022-04-29 18:01:19+00:00,ClintonNortnice,THE GOAT,,tl,@PatriotsStan77 $100 wo ko sie no wo white house anaa 😂 anaa e levy aka funu no
107,2022-04-29 18:00:16+00:00,Lester_O3,Kaizoku-ō,Onigashima,en,Does the E levy affect zakat ?
108,2022-04-29 17:44:51+00:00,Lester_O3,Kaizoku-ō,Onigashima,en,Lmao so with the E- levy the offertory sent through momo would be taxed 🤣🤣🤣 herh ghana
109,2022-04-29 17:41:05+00:00,daniel_atiah,Daniel Atiah,,en,"@SelormAdonoo Good evening Selorm, So the Nana Addo led government still want to go ahead for implementation of the contrivicial E- LEVY regardless the court issues? Even though we have  a human rights lawyer as a president?.  From Dansoman. 
CitiNewsroom."
110,2022-04-29 17:39:43+00:00,DavidOf39525906,David Ofori,Takoradi Ghana,en,"If I'm transferring money from my own mobile money wallet to my own bank account,, will it attract e levy? https://t.co/DvUMydzpEh"
111,2022-04-29 17:34:54+00:00,thomaStunna,Totti,where the cash at,en,If you've more than 1 account nbs E levy commencing on 1st May you go get
112,2022-04-29 17:29:28+00:00,iamwizgh,𝑫𝒊𝒓𝒆𝒄𝒕𝒐𝒓 𝑾𝒊𝒛 🇬🇭🇳🇬,Wiz Media ,en,@NipaNua6 We can't be sad of E levy in peace
113,2022-04-29 17:23:19+00:00,fidelitybankgh,Fidelity Bank Ghana,"Accra, Ghana",en,"Effective May 1 2022, the #eLevy will apply to instant electronic transactions.
Learn more here: https://t.co/bQpB86w9PC https://t.co/dEVcijSHbM"
114,2022-04-29 17:15:04+00:00,Ephyar_Oheneni,AYEDUASE YESU NUA BAA,kumerica(California),tl,"Sake of E- levy 
Sei aaaa na 3b3 ba https://t.co/mKOIAclMWg"
115,2022-04-29 17:06:46+00:00,so_katman,Jeff 🇬🇭🇦🇷,,en,Vodafone say send money for free. E levy ein moda https://t.co/xCFU3PGtED
116,2022-04-29 17:04:30+00:00,Watchmetwice1,justimagine,Tema,en,E levy starts on Sunday.
117,2022-04-29 16:48:48+00:00,bidiewuraba,Cruz Blinkz Neil Pope😎😷,,en,"@kooSebor  this e levy will cause more harm than good ooo
#Puredrive  #Danolifeline"
118,2022-04-29 16:38:39+00:00,ProsperSerebour,ON THIS MORNING- All Round Devotional,"Kumasi, Ghana",en,"All #ELevy going into the long weekend I guess... Well, as if It won't while away... #GrindOn..."
119,2022-04-29 16:31:04+00:00,mr_float,Nana Kwesi,,en,@Kayjnr10 @QueenMancunian E levy dey laugh fir one side.🤣
120,2022-04-29 16:29:53+00:00,OperaNews_GH,Opera News Ghana,"Accra, Ghana",en,"E-Levy: 'If you decide to pay your tithe of GH¢2,000, exactly GH¢2,000 will go to the church' – John Kumah
https://t.co/HzUzMC7WHi
#elevy"
121,2022-04-29 16:28:32+00:00,ohjeezentertain,ohjeez Entertainment,,en,"Did you also received this ?

#elevy #Ghana https://t.co/sPHSl2w2fM"
122,2022-04-29 16:26:26+00:00,A_champeong,Kwabena Nsafoah 📸1kle,Somewhere in Ghana,en,"I just got  my first e- levy deduction , delivery has become a part of us now we can’t avoid it"
123,2022-04-29 16:22:03+00:00,OforiAkuffo,Ofori-Akuffo,Wiase,en,"Well, notice has been duly served to me.
#elevy https://t.co/ao4qEbhBG4"
124,2022-04-29 16:22:02+00:00,kobina,Kobina,Earth,en,"@ #Ghana: You see? Enemies don't want me to log in to my account and make all my payments to dE-Levytate myself. But they lie bad! 
#elevy https://t.co/WYdFbG12ei"
125,2022-04-29 16:19:25+00:00,GCBBankPLC,GCB Bank PLC,Ghana,en,"Cherished Customer,

This is to notify you of the commencement of E-Levy from 1st May, 2022.

Learn more about FAQs: https://t.co/YagAaFdjph

#ELevy #Taxes #Ghana #GRA #Charges #Transfers #GCB #YourBank4Life https://t.co/kK74Jipqfe"
126,2022-04-29 16:15:57+00:00,NattyLeeCl,🆑♥️♥️♥️,In the cupboard ,en,@MMirekuaa @Afia_Dimple 😂😂 e levy will get you
127,2022-04-29 16:13:05+00:00,FBNBankGh,FBNBank Ghana,"Liberation Road, Accra",en,"#Elevy , what you need to know. Click or visit https://t.co/4bPqElZfHH for more info. https://t.co/4xqQOkp4ep"
128,2022-04-29 16:11:53+00:00,Moshosho97,Philosopher Dacosta( Burma Camp MP),United Garrisons of Burma Camp,en,Are you ready for the implementation of the e - levy?
129,2022-04-29 15:42:42+00:00,kakra19,#CashIsComing,"Tema, Ghana",en,After all this BS..I endorse E levy now…From Sunday tax them!!!
130,2022-04-29 15:35:37+00:00,Ephriyie,AJ💜,Ghana,en,Let me send my staff money before E- levy starts
131,2022-04-29 15:24:03+00:00,SekyereRichard_,Sekyere Richard,Ghana,en,"Oh! so with all the public outcry, at long last E-levy has come to stay ampa! 
""Dear Customer, Please be informed that in line with the Government directive, e-levy charges will apply to electronic transactions, effective May 1, 2022.
Thank you.""
E Levy | Ghana | Africa | CBG"
132,2022-04-29 15:22:50+00:00,JernieAd,JernieAd,,en,@DoksBaby @paul_edem_ Me saf I thinking of withdrawing for now till I mentally accept e levy
133,2022-04-29 15:21:15+00:00,AnabaDreamer,Anaba Walter de dreamer,,en,@FancyDiMaria_ 2moro is my last betting bcos I can't deposit money bcos of betting and end up losing my bet and giving someone chop money call e - levy.
134,2022-04-29 15:18:41+00:00,BTBAWhisppa, 🇷🇺 🇬🇭 ,Unknown,en,@moigovgh Same thing for Nabco 😂 remember me fuor. 😂 e levy too u they do same?
135,2022-04-29 15:17:53+00:00,This_is_AO,AO Gorman,"Toronto, Ontario",en,What is this E Levy about
136,2022-04-29 15:10:17+00:00,mr_Addai_Amoh,ADDAI AMOH JOSEPH,"Kumasi, Ghana",en,"We are currently 95% ready to implement E-levy – Deputy Finance Minister.

What is your take on the E-levy?

@kwadwo_piano1 @MichaelAbuah_ @thenanaaba @_i_am_frank @GeorgeGand @_anane_newman 

#elevy https://t.co/0dDlgFh661"
137,2022-04-29 15:02:39+00:00,DrSamses,DR. SAMSES SHEP MD,"Hebei, People's Republic of Ch",en,"@gyaigyimii Increase the tally, because E- levy go drop the money by at least 20,000"
138,2022-04-29 14:58:52+00:00,KdamtsiTech,Kdamtsi Services,"Takoradi, Ghana, West Africa",en,E Levy Implementation to start from 1st May 2022 – GRA https://t.co/5eRoT2bKU4
139,2022-04-29 14:48:10+00:00,peacefmonline,Peace FM Online,Ghana,qme,#elevy https://t.co/i8Evgyngza
140,2022-04-29 14:47:51+00:00,peacefmonline,Peace FM Online,Ghana,qme,#elevy https://t.co/i7Ikio9bTT
141,2022-04-29 14:47:27+00:00,peacefmonline,Peace FM Online,Ghana,qme,#elevy https://t.co/mgR7dnMtiM
142,2022-04-29 14:44:40+00:00,yankey119,Zakariah,"Sekondi Takoradi, Ghana",en,"E-LEVY CHARGES APPLICABLE AT GCB BANK.

Take Note:
It has been declared by the Ghana Revenue Authority (GRA) that the Electronic Transaction Levy (E Levy) Implementation will go into effect and start on May 1st 2022. https://t.co/ouuwIeqTXI"
143,2022-04-29 14:30:25+00:00,Everydaynewsgh,EverydayNews GH🇬🇭,"Ashanti, Ghana",en,E Levy Implementation to start from 1st May 2022 – GRA https://t.co/QANUmjGMCb
144,2022-04-29 14:00:03+00:00,OperaNews_GH,Opera News Ghana,"Accra, Ghana",en,"MoMo service providers asked to embrace technology

https://t.co/HOsAMGaPXw

#Elevy #Ghana"
145,2022-04-29 13:58:16+00:00,kingjamesdepoet,KingJamesde.Poet🇬🇭©️,"Greater Accra, Ghana",en,"The most peaceful place in Ghana is kasoa the rest are 666.
.
.
#jokes
#kasoa
#antichrist
#place
#ghana
#elevy"
146,2022-04-29 13:51:59+00:00,MarvinBoateng13,7220,,en,@papatenkler @kwadwosheldon @sarkodie @NebaSark @Sark_Lawyer @gyaigyimii Clout chasing smelling all over the caption🤣🤣 kotoko and e levy nyinaa just because you want your tweet to go far ow
147,2022-04-29 13:36:43+00:00,ICTDTax,International Centre for Tax and Development,"Brighton, UK",en,"💫NEW BLOG: Can Ghana's Electronic Transfer Levy be implemented legally on the 1st of May? And beyond that, how will it work? Read our new #DIGITAX blog
👇 
https://t.co/KRh9K7OqZ8

#Ghana #ELevy
@news_ghana @modernghanaweb @3news_com @Graphicgh @TheGhanaWeb @bftghana @IDS_UK"
148,2022-04-29 13:31:18+00:00,Kudiburnergh,#YAPAI,"Greater Accra, Ghana",fr,E levy Apai😂😂😂Check out Sariki_1Don's video! #TikTok https://t.co/yowEkolh82
149,2022-04-29 13:30:00+00:00,OperaNews_GH,Opera News Ghana,"Accra, Ghana",en,"Read the full administrative guidelines on e-levy implementation issued by GRA

https://t.co/mlyDyytSE7
#Elevy #Ghana #GRA"
